checkpoint,checkpoint_sha256,folder,method,optimizer_updates,owner,parameters,policy_id,task,training_receipt,training_seconds,checkpoint_bytes,authorship_audit,prior_document,prior_summary_API_authored,source,source_version,handoff_document
runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h01/training/last.pt,1c67e78252c2734327f0f167c21b1421950c0f1de719494e7d325a4a50f7c198,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h01,APPL_6_xhigh,20000,Runtime API,19473719,transfer_blue__h01,buffer_swap,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h01/training/result.json,3388.022629668005,389791613,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h01/source/PRIOR.md,"Learned attachment-conditioned action diffusion with a causal two-object TCP-relative transform estimator, none/red/blue attachment probabilities, and an action-conditioned recurrent future-state predictor. Masked future-state supervision and attachment-gated relative-pose consistency train both the representation and, through reconstructed clean actions, the denoiser. The full expanded slice includes initial red descent/release, blue acquisition/carry/setdown/release, and buffered-red regrasp/lift.",runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h01/source,2ea29448fd80c73ce3ac0abc0ab5a6dd33cadd7a11755bfc22759e81c907f42e,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h02/training/last.pt,86995995d60d54ab232e6105473873dbd8e523284f3ce2c85c5e3523a552abb2,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h02,APPL_6_xhigh,20000,Runtime API,19219835,transfer_blue__h02,buffer_swap,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h02/training/result.json,1273.1217502409709,384770565,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h02/source/PRIOR.md,"Role-conditioned noninterference in a learned action diffusion model: a TCP/red/blue interaction graph estimates passive versus active roles, and an action-conditioned ensemble provides masked preservation and conservative point-to-cube clearance training losses. The fixed sampler has no candidate-ranking hook; ranking is not implemented and preservation is amortized into the epsilon predictor during training.",runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h02/source,04a2702a16014bc74c30c70637d24e091ff05d4e6f1f95d277dd82c0750dccd9,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h03/training/last.pt,f7a68c796a84f5f109ecb70962e2144ce4f115366744661d01a03ee6a97eab4c,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h03,APPL_6_xhigh,20000,Runtime API,18468920,transfer_blue__h03,buffer_swap,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h03/training/result.json,1032.2822345999884,369698741,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h03/source/PRIOR.md,"A learned finite-context event posterior and state-dependent residual-duration hazards condition an epsilon-predicting joint-action diffusion model. Soft stay/advance belief propagation encourages event persistence without a trajectory clock. Training-only command/geometry annotations, right-censored future event targets and a soft ordered-transition loss align the full red-release to blue-transfer to red-reacquisition sequence.",runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h03/source,0c530047669b3f60505de7b03bf3f34784b0673b6dece8f12aea5aaccf8dcec2,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h03/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h01/training/last.pt,a78d935452d12012d69e4d5ed60296b324dba5054d5bd424d84f86e3a75dca39,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h01,APPL_6_xhigh,20000,Runtime API,18608842,finish_red__h01,buffer_swap,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h01/training/result.json,930.767296224949,372491105,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h01/source/PRIOR.md,"Rotated-footprint contract-aware action diffusion. Exact observed margins condition a learned epsilon U-Net. An action-conditioned future-pose/support surrogate supplies masked supervision and low-noise differentiable containment and blue-preservation guidance to denoised action estimates during training. Online actions remain learned DDPM samples, not a controller.",runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h01/source,82d98d20b90150ae9c1297d02f4588d4fc0e3cdf3e79bec90bb6a0f166fff542,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h02/training/last.pt,39f62116093148ab7ada42cf669a39a3a561a21f3aa4fec91ddcbc2298266da6,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h02,APPL_6_xhigh,20000,Runtime API,18336918,finish_red__h02,buffer_swap,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h02/training/result.json,1285.937905997038,367068133,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h02/source/PRIOR.md,"Soft, observation-correctable progress-memory diffusion policy. A learned state initializer and two-observation GRU infer six contact/progress modes; their belief, predicted goal geometry, and observation disagreement condition a learned action DDPM. Action-conditioned recurrent progress forecasts, supervised only by training future labels, teach ordering and persistence. This is a bounded-memory adaptation, not a persistent hidden-state controller.",runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h02/source,e81549920a864405f368c55559ea6bf8ce9d6803a2f641636e4c998340ae64b5,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h03/training/last.pt,bcf0555945368fc1041b245161df2d5377cb0952bcc7b58a52cc8bf313da2917,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h03,APPL_6_xhigh,20000,Runtime API,18620517,finish_red__h03,buffer_swap,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h03/training/result.json,1055.4640344019863,372747449,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h03/source/PRIOR.md,Grasp-frame-conditioned joint-action diffusion. A learned two-observation blue/empty/red attachment encoder gates measured object-to-TCP transforms and grasp-compensated goal TCP errors. A state-conditioned learned joint-noise decoder and masked action-conditioned future-pose losses learn local action/motion coupling without IK. Every action is sampled by the supplied joint-action DDPM.,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h03/source,1ab50555e4a9ffa3c401de7c5b5534aec7f647ce231792eb424d4866344d4c47,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h03/source/HANDOFF.json
runs/exp2/current/models/naive_DP/unstack_sort/naive_DP/training/last.pt,98215b169a5246928dc4f0993aa1dc8fdcd2e7164d6d884cd7fb3fd0753fbd8d,runs/exp2/current/models/naive_DP/unstack_sort/naive_DP,naive_DP,60000,Developer baseline,16998408,naive_DP,unstack_sort,runs/exp2/current/models/naive_DP/unstack_sort/naive_DP/training/result.json,2017.7027325170347,340239430,,,,runs/exp2/current/models/naive_DP/unstack_sort/naive_DP/source,,
runs/exp2/current/models/SinglePrior_6_xhigh/unstack_sort/SinglePrior_6_xhigh/training/last.pt,5ca6fe98888c23de7611156737579ccd2af95ea5a880789274a7c5d93470f640,runs/exp2/current/models/SinglePrior_6_xhigh/unstack_sort/SinglePrior_6_xhigh,SinglePrior_6_xhigh,60000,Runtime API,19487544,SinglePrior_6_xhigh,unstack_sort,runs/exp2/current/models/SinglePrior_6_xhigh/unstack_sort/SinglePrior_6_xhigh/training/result.json,2717.7109369860264,390077829,runs/exp2/current/models/SinglePrior_6_xhigh/unstack_sort/SinglePrior_6_xhigh/authorship_audit.json,runs/exp2/current/models/SinglePrior_6_xhigh/unstack_sort/SinglePrior_6_xhigh/source/PRIOR.md,"Object-centric predictive relation conditioning: a shared two-object encoder and shared short-horizon relation forecaster expose object-to-TCP, object-to-goal, and inter-object structure to one learned action diffusion U-Net. Forecasts are supervised by demonstration futures during training and computed only from the two causal observations at deployment.",runs/exp2/current/models/SinglePrior_6_xhigh/unstack_sort/SinglePrior_6_xhigh/source,b9bd40a0944e29078a9cb92a5a732a11ccb99e5c656e9da8a8e79349b1398108,
runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h01/training/last.pt,cad1310b3a0b294a884f98166d3d20dd6c8f0930b84734785893fda83e1003f5,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h01,APPL_6_xhigh,20000,Runtime API,18883662,acquire_lift__h01,unstack_sort,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h01/training/result.json,862.2024846189888,378025813,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h01/source/PRIOR.md,"Role-relative geometry with support context, implemented as a learned two-object message-passing encoder conditioning an action DDPM. Shared object and edge networks combine TCP/object/goal differences, table and inter-object height context, sign-invariant rotation matrices, and causal motion with a global robot branch. Three learned latent attention slots replace unavailable invocation tags; both objects also remain in an ungated pooled path.",runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h01/source,0f2dcfaeff0f8763ed8056ca0a8cde520960a4a41361c39acc8da0093ac57fd2,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h02/training/last.pt,d6482f05f8e7c4e2eb59e62dbcef721710782831442d895b8fc83e5f4df38bd6,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h02,APPL_6_xhigh,20000,Runtime API,18697570,acquire_lift__h02,unstack_sort,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h02/training/result.json,716.367564633023,374276473,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h02/source/PRIOR.md,"A causal recurrent contact-belief prior conditions a learned absolute-joint action DDPM. Six soft object-indexed modes distinguish empty approach/retreat, red closing, red held, red releasing, blue closing and blue held. Future finger positions, coupled object/TCP displacement and relative orientation changes provide training-only outcome supervision; no measured contact is asserted.",runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h02/source,51be03bfda22ceebe6ca7ed7cc37230c6efb95fef062f4ad60144276a21c9096,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h03/training/last.pt,2534fa3360b20e3db35c6e17e3fe66122eb699d95ea556c97b651d3182920194,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h03,APPL_6_xhigh,20000,Runtime API,18853648,acquire_lift__h03,unstack_sort,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h03/training/result.json,1189.5750012049684,377418881,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h03/source/PRIOR.md,"Clear support before lateral loading. A history-conditioned action diffusion U-Net is trained with an action-conditioned response ensemble, frozen-response matching, and a soft world-z clearance energy. Small late-denoising energy-gradient steps are accepted only against an unguided candidate with bounded action changes and low ensemble disagreement. Explicit causal selected/previous-object role features separate red pickup, prior-red completion, and blue pickup.",runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h03/source,a6d76397be815149b9ac1258811f664a740293bf88b4a2c70676639b06da8135,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h03/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h01/training/last.pt,539efdd9421300f3e538b9bf8daf3942a0837be0682afef0476ef60a120319a9,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h01,APPL_6_xhigh,20000,Runtime API,18976841,carry_place_clear__h01,unstack_sort,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h01/training/result.json,1199.7041241139523,379868109,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h01/source/PRIOR.md,"Transport the object rather than the TCP: a learned attachment-confidence gate exposes causal TCP-to-object rigid transforms to a shared object-token encoder, while both object-to-pad errors remain visible after placement. A learned action-conditioned future-pose predictor supplies masked held-object transform losses to the epsilon diffusion model.",runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h01/source,7c3e0cb032ec78fd26e22420f153f67bd133849d088d3990e991428836613537,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h02/training/last.pt,276649261d0e8e7864fc3eb1e6a510cf40e8061e18c3e8c88d213eb5d78ac0ef,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h02,APPL_6_xhigh,20000,Runtime API,19939226,carry_place_clear__h02,unstack_sort,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h02/training/result.json,975.8210892089992,399181409,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h02/source/PRIOR.md,"History-informed, phase-conditioned action diffusion with separate arm and gripper epsilon heads. A binary clean-gripper auxiliary, weak ordered event supervision, masked persistence losses and an action-conditioned measured-response predictor distinguish persistent grip events from smooth absolute joint setpoints. The fixed Gaussian DDPM is retained; categorical gripper diffusion is adapted to a Bernoulli auxiliary and binary-support consistency, not represented as an implemented categorical sampler.",runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h02/source,827ec5f3e9d10d04073fd4c222d410f9715822e2d4817e19e225b2682ee3bccd,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h03/training/last.pt,203674332fbcb3405ca26572513082214f0cb02166f6a11661cbaddd279f474b,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h03,APPL_6_xhigh,20000,Runtime API,18812877,carry_place_clear__h03,unstack_sort,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h03/training/result.json,1041.8082147400128,376625025,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h03/source/PRIOR.md,"Contract-aware learned action diffusion with a three-member action-conditioned outcome ensemble, causal horizon-progress conditioning, phase-gated rotated-corner containment shaping and preservation of already achieved goals. Goal energy has a zero-cost feasible region rather than a pad-center target. Opening, retreat and the red-to-blue transition retain ordinary demonstration supervision.",runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h03/source,9db93301a420ef51a05f5abaac19ce44418d2f27ee4b54299096e8b48083fa32,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h03/source/HANDOFF.json
runs/exp2/current/models/naive_DP/tray_pack/naive_DP/training/last.pt,ba8b7152d864205c9a343bee45fc1c83e5aa5dff021f7023600559892de2a8f2,runs/exp2/current/models/naive_DP/tray_pack/naive_DP,naive_DP,60000,Developer baseline,16998408,naive_DP,tray_pack,runs/exp2/current/models/naive_DP/tray_pack/naive_DP/training/result.json,2002.0982144779991,340239430,,,,runs/exp2/current/models/naive_DP/tray_pack/naive_DP/source,,
runs/exp2/current/models/SinglePrior_6_xhigh/tray_pack/SinglePrior_6_xhigh/training/last.pt,324f71285531f79ac1ff534b3958d135d1a512904a7c791b6531a3da29f635b3,runs/exp2/current/models/SinglePrior_6_xhigh/tray_pack/SinglePrior_6_xhigh,SinglePrior_6_xhigh,60000,Runtime API,20020712,SinglePrior_6_xhigh,tray_pack,runs/exp2/current/models/SinglePrior_6_xhigh/tray_pack/SinglePrior_6_xhigh/training/result.json,2624.8164968959754,400715601,runs/exp2/current/models/SinglePrior_6_xhigh/tray_pack/SinglePrior_6_xhigh/authorship_audit.json,runs/exp2/current/models/SinglePrior_6_xhigh/tray_pack/SinglePrior_6_xhigh/source/PRIOR.md,"A shared temporal tool-object-goal relation encoder conditions one action diffusion U-Net. A training-only, shared short-horizon relation-displacement forecast regularizes this representation without imposing an object order or a controller.",runs/exp2/current/models/SinglePrior_6_xhigh/tray_pack/SinglePrior_6_xhigh/source,5ef7d52258884a823eb22408d183efbf7f446728d7ee2c470cb0e1c3e215e4c9,
runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h01/training/last.pt,4f0a59f33c4b86164d687be0e0b1aa5a4a012a17db24e07151630ce49bb2ec23,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h01,APPL_6_xhigh,20000,Runtime API,19874888,acquire_block__h01,tray_pack,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h01/training/result.json,940.2855272490415,397844881,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h01/source/PRIOR.md,"Role-factored relative geometry: a shared encoder processes both pose-and-goal bundles using world and TCP-relative translations, relative rotations, goal errors and causal differences. Learned latent-role attention pools object interactions; a separate fixed-base robot stream conditions a learned action DDPM. This is a representation-sharing prior, not a phase controller.",runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h01/source,b70d3b7015c387ae38e0de647a866490b14a2ede8ecd64bb6911725eac0e2eca,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h02/training/last.pt,f354c86cd2c75802bbc6485d34eea4598857d36afee93cd6b15df80652b46fd2,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h02,APPL_6_xhigh,20000,Runtime API,18598171,acquire_block__h02,tray_pack,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h02/training/result.json,1731.947704427992,372303101,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h02/source/PRIOR.md,"Contact-progress-conditioned hidden semi-Markov latent diffusion: a two-frame recurrent belief encoder, six soft manipulation modes, uncertain run-age initialization and learned progress-dependent stay/exit hazards condition an absolute-joint/gripper DDPM. Training-only action, aperture, height and masked future co-motion cues supervise phase, pending-role, duration likelihood and readiness. Finite transition preferences favor demonstrated dependencies without an irreversible automaton.",runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h02/source,ab8d3d268da2adbd603ac540664b3fe6252f3643359ea185f4cb16f487c742bf,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h03/training/last.pt,a4ed1e7683327a646621ce42e5aaab2f34c00649668dae01482ce09aceaecd85,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h03,APPL_6_xhigh,20000,Runtime API,20021364,acquire_block__h03,tray_pack,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h03/training/result.json,1532.8645512840012,400779373,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h03/source/PRIOR.md,"Attachment as an action-conditioned invariant: an original joint/gripper action diffusion model is conditioned on learned exclusive none/red/blue attachment beliefs and structured TCP/object forecasts. Attached forecasts compose a learned slowly varying TCP-to-object transform; independent forecasts have separate support-motion branches. Future pose, regime, rigidity, stationary-object and low-noise denoising-consequence losses train this distinction over the complete expanded slice.",runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h03/source,08460de4922f1b4385d1543a33d52b37442257465ff26fcff4e158a5a345a57c,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h03/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h01/training/last.pt,eade865af6332ccb9f06a31a3d0d79533e854a4ad668239b62c05c6c1f72b20c,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h01,APPL_6_xhigh,20000,Runtime API,19583897,deliver_block__h01,tray_pack,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h01/training/result.json,1654.7691567940055,392105885,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h01/source/PRIOR.md,"Move the payload rather than only the TCP. A learned goal-relative TCP path latent with continuous rotations and gripper commands is conditioned on causal TCP-to-object transforms and attachment confidence. A local learned inverse-dynamics decoder supplies bounded normalized joint proposals to the joint-action DDPM denoiser. Future-path supervision, attached-payload consistency and a differentiable denoised-action/path cycle train the geometry. The mandatory sampler remains in joint-action space; this is an explicitly documented geometric-latent adaptation, not a separate Cartesian DDPM or exact IK.",runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h01/source,c1d31a6fee09245372e289bfb4f93638678c9bf760c879484cd34cbc151af6a5,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h02/training/last.pt,cb4f85fa8d410ea82b8c9b4666763d8c5e6260965db948165c18fbdb2d2ca709,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h02,APPL_6_xhigh,20000,Runtime API,19661368,deliver_block__h02,tray_pack,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h02/training/result.json,1052.6981389909633,393548509,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h02/source/PRIOR.md,"Rim-aware transport topology implemented as an absolute-joint diffusion policy with fixture-relative causal conditioning, learned contact/motion-mode forecasts, and a supervised action-chunk-conditioned pose ensemble. A differentiable, confidence-weighted geometric preference compares a denoised chunk with the demonstrated chunk through frozen rollout weights. This amortizes the assigned predictive-ranking hypothesis into diffusion training; the fixed inference interface does not perform completed-sample ranking.",runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h02/source,adc34be3ad06c069569af3352a7d886c55c81fa5412a4481f00f7f0d7f337a39,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h03/training/last.pt,eaeaf5385fbedce257f655d57c7c1f51b50d731ef2b9b914286c4bf9a5ceb84d,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h03,APPL_6_xhigh,20000,Runtime API,18730377,deliver_block__h03,tray_pack,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h03/training/result.json,957.1931629500468,374956293,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h03/source/PRIOR.md,"Containment is not disengagement. A learned two-frame recurrent contact belief with probabilistic phase persistence conditions an original-action diffusion policy. Separate containment, attachment and readiness predictions, future motion supervision, release-event survival likelihood and a detached-branch anti-reclosing loss distinguish closed-held goal entry from reusable empty-hand transitions.",runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h03/source,432e5a8df4679c3454efc7362c1fcb2b50aa8ea0b23329f97fe342e0368257d4,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h03/source/HANDOFF.json
